Validation_Set,Topics,Alpha,Beta,Coherence
BOW Corpus,10,0.9099999999999999,symmetric,0.40040452663127624
BOW Corpus,10,symmetric,0.01,0.4154545766550872
BOW Corpus,10,symmetric,0.31,0.3980835706037815
BOW Corpus,10,symmetric,0.61,0.40883739649654666
BOW Corpus,10,symmetric,0.9099999999999999,0.38942560508454827
BOW Corpus,10,symmetric,symmetric,0.39707822481257576
BOW Corpus,10,asymmetric,0.01,0.39857843708920554
BOW Corpus,10,asymmetric,0.31,0.39864532506531464
BOW Corpus,10,asymmetric,0.61,0.4322905488785449
BOW Corpus,10,asymmetric,0.9099999999999999,0.4029723686810566
BOW Corpus,10,asymmetric,symmetric,0.42753788748845495
